time,datetime,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1711918800000,2024-04-01 00:00:00,54.121,54.169,53.569,53.794,173072.0,1711922399999,9322582.082,19105,75198.0,4050897.529
1711922400000,2024-04-01 01:00:00,53.794,54.197,53.716,53.961,213625.0,1711925999999,11520556.176,22542,108268.0,5839252.467
1711926000000,2024-04-01 02:00:00,53.96,54.284,53.738,54.134,228695.0,1711929599999,12347036.721,23663,113399.0,6123318.92
1711929600000,2024-04-01 03:00:00,54.135,54.163,53.346,53.534,306753.0,1711933199999,16466693.321,28798,152318.0,8174474.265
1711933200000,2024-04-01 04:00:00,53.533,53.769,53.374,53.613,262766.0,1711936799999,14075034.928,27797,131000.0,7018393.58
1711936800000,2024-04-01 05:00:00,53.61,54.209,53.544,53.903,225384.0,1711940399999,12146820.308,21433,104440.0,5627596.057
1711940400000,2024-04-01 06:00:00,53.907,54.139,53.82,53.876,175524.0,1711943999999,9473236.507,18867,78788.0,4252946.211
1711944000000,2024-04-01 07:00:00,53.878,54.119,53.43,53.443,224818.0,1711947599999,12087272.96,21688,108322.0,5823731.323
1711947600000,2024-04-01 08:00:00,53.442,53.673,50.374,51.29,1682289.0,1711951199999,87216064.702,143516,758501.0,39318357.763
1711951200000,2024-04-01 09:00:00,51.283,52.265,51.01,52.135,869107.0,1711954799999,44972880.71,94398,425453.0,22014734.34
1711954800000,2024-04-01 10:00:00,52.136,52.474,52.037,52.255,351420.0,1711958399999,18362947.388,37466,170711.0,8919536.082
1711958400000,2024-04-01 11:00:00,52.255,52.263,51.36,51.776,571493.0,1711961999999,29610159.588,55749,268765.0,13923828.089
1711962000000,2024-04-01 12:00:00,51.777,52.11,51.74,51.835,248990.0,1711965599999,12936018.851,26434,128032.0,6651674.773
1711965600000,2024-04-01 13:00:00,51.834,52.012,51.501,51.99,235515.0,1711969199999,12188335.942,26055,116634.0,6037007.887
1711969200000,2024-04-01 14:00:00,51.991,53.091,51.911,52.489,609869.0,1711972799999,32130447.135,56451,300256.0,15810380.422
1711972800000,2024-04-01 15:00:00,52.489,52.938,52.237,52.855,316766.0,1711976399999,16659205.237,38986,154690.0,8136963.683
1711976400000,2024-04-01 16:00:00,52.855,53.414,52.577,52.972,454774.0,1711979999999,24125192.483,51744,212041.0,11249251.059
1711980000000,2024-04-01 17:00:00,52.973,53.11,51.601,51.792,716352.0,1711983599999,37441610.882,80623,347514.0,18165144.262
1711983600000,2024-04-01 18:00:00,51.793,52.04,50.818,51.332,976140.0,1711987199999,50172803.966,108708,471068.0,24217001.77
1711987200000,2024-04-01 19:00:00,51.333,51.689,50.653,50.839,682395.0,1711990799999,34908969.425,69687,305346.0,15620068.833
1711990800000,2024-04-01 20:00:00,50.831,51.11,50.239,51.061,514920.0,1711994399999,26094726.841,56982,238841.0,12109218.431
1711994400000,2024-04-01 21:00:00,51.061,51.061,50.288,51.032,405278.0,1711997999999,20561187.998,48375,194494.0,9869856.968
1711998000000,2024-04-01 22:00:00,51.028,51.585,50.941,51.507,330506.0,1712001599999,16976325.096,37223,158928.0,8164456.668
