time,datetime,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1648846800000,2022-04-02 00:00:00,97.39,98.3,97.3,97.72,173508.0,1648850399999,16980603.609,18724,87831.0,8595744.679
1648850400000,2022-04-02 01:00:00,97.72,98.09,96.27,96.91,317815.0,1648853999999,30884118.522,30845,150333.0,14616833.38
1648854000000,2022-04-02 02:00:00,96.9,96.95,95.51,96.82,307873.0,1648857599999,29666886.473,29593,135916.0,13105632.965
1648857600000,2022-04-02 03:00:00,96.81,98.98,96.0,98.86,434383.0,1648861199999,42427064.216,38926,237033.0,23146038.916
1648861200000,2022-04-02 04:00:00,98.86,99.11,97.59,98.14,342140.0,1648864799999,33654423.734,30290,157002.0,15450351.83
1648864800000,2022-04-02 05:00:00,98.12,98.4,96.48,96.91,297249.0,1648868399999,28941431.984,28947,123729.0,12047101.862
1648868400000,2022-04-02 06:00:00,96.91,97.51,96.64,97.51,161897.0,1648871999999,15720776.65,20397,78134.0,7587615.29
1648872000000,2022-04-02 07:00:00,97.51,98.3,96.84,98.02,177785.0,1648875599999,17362708.589,18690,99226.0,9689253.599
1648875600000,2022-04-02 08:00:00,98.06,98.9,97.61,98.78,199604.0,1648879199999,19620394.114,19213,99592.0,9790624.94
1648879200000,2022-04-02 09:00:00,98.78,100.75,98.19,100.49,646257.0,1648882799999,64243039.062,43411,321905.0,32011827.222
1648882800000,2022-04-02 10:00:00,100.49,101.0,99.26,100.74,492741.0,1648886399999,49357144.887,38227,250019.0,25046412.999
1648886400000,2022-04-02 11:00:00,100.75,101.44,100.22,101.44,351535.0,1648889999999,35408268.39,32388,183603.0,18494275.36
1648890000000,2022-04-02 12:00:00,101.44,101.45,100.54,101.2,254443.0,1648893599999,25702083.514,23172,130715.0,13206021.585
1648893600000,2022-04-02 13:00:00,101.2,101.55,100.67,101.42,235445.0,1648897199999,23814138.15,22646,120287.0,12167283.87
1648897200000,2022-04-02 14:00:00,101.43,102.71,101.08,101.63,408542.0,1648900799999,41630317.312,36339,207019.0,21096906.807
1648900800000,2022-04-02 15:00:00,101.64,103.63,100.7,102.73,762970.0,1648904399999,78112353.983,65915,369949.0,37889299.606
1648904400000,2022-04-02 16:00:00,102.69,103.66,102.15,102.34,421416.0,1648907999999,43420990.405,38352,187060.0,19281452.953
1648908000000,2022-04-02 17:00:00,102.34,102.75,100.81,101.12,431031.0,1648911599999,43853514.361,39194,196802.0,20030150.56
1648911600000,2022-04-02 18:00:00,101.13,101.21,98.12,99.14,927417.0,1648915199999,92361125.807,79231,426910.0,42529948.471
1648915200000,2022-04-02 19:00:00,99.14,101.2,98.72,100.16,510474.0,1648918799999,51089731.874,46896,252411.0,25263695.874
1648918800000,2022-04-02 20:00:00,100.16,101.0,99.6,100.03,262776.0,1648922399999,26387266.607,25454,135308.0,13595110.469
1648922400000,2022-04-02 21:00:00,100.05,100.3,96.31,96.65,984897.0,1648925999999,96146109.778,85794,443367.0,43259010.508
1648926000000,2022-04-02 22:00:00,96.65,98.42,96.5,97.71,294177.0,1648929599999,28751347.276,31631,145706.0,14241444.951
1648929600000,2022-04-02 23:00:00,97.73,98.49,97.0,98.13,222722.0,1648933199999,21794312.846,23679,105253.0,10301796.389
1648933200000,2022-04-03 00:00:00,98.1,98.39,97.0,98.1,171660.0,1648936799999,16786700.976,17488,90317.0,8835310.139
1648936800000,2022-04-03 01:00:00,98.1,98.5,96.55,97.41,277389.0,1648940399999,27018031.487,26377,129620.0,12626383.12
1648940400000,2022-04-03 02:00:00,97.39,97.9,95.68,96.22,394074.0,1648943999999,38112900.894,33529,160709.0,15557124.794
1648944000000,2022-04-03 03:00:00,96.23,97.56,95.83,96.75,360130.0,1648947599999,34822631.73,29870,185042.0,17896317.187
1648947600000,2022-04-03 04:00:00,96.74,96.86,94.38,95.82,561669.0,1648951199999,53578621.903,51562,242625.0,23146994.573
1648951200000,2022-04-03 05:00:00,95.8,96.55,95.62,96.22,129684.0,1648954799999,12463961.698,15350,62983.0,6053706.855
1648954800000,2022-04-03 06:00:00,96.21,97.48,96.01,97.35,210173.0,1648958399999,20376597.332,20934,102502.0,9937991.372
1648958400000,2022-04-03 07:00:00,97.36,98.46,97.27,98.28,266309.0,1648961999999,26086867.349,23765,126009.0,12344360.529
1648962000000,2022-04-03 08:00:00,98.27,99.49,97.91,99.45,258803.0,1648965599999,25579839.617,23697,140671.0,13906186.907
1648965600000,2022-04-03 09:00:00,99.44,99.97,98.54,99.94,293318.0,1648969199999,29113906.098,30033,142207.0,14116110.988
1648969200000,2022-04-03 10:00:00,99.94,100.11,98.25,98.67,315586.0,1648972799999,31262513.497,28315,124141.0,12301548.69
1648972800000,2022-04-03 11:00:00,98.67,99.28,97.29,97.76,323015.0,1648976399999,31751938.376,28442,151106.0,14859558.592
1648976400000,2022-04-03 12:00:00,97.77,99.58,97.09,99.28,414418.0,1648979999999,40830194.27,34048,200018.0,19702976.836
1648980000000,2022-04-03 13:00:00,99.29,99.55,98.19,98.53,270277.0,1648983599999,26689030.047,21319,123147.0,12162477.972
1648983600000,2022-04-03 14:00:00,98.53,99.03,97.63,98.65,241462.0,1648987199999,23769834.464,23602,115357.0,11359592.92
1648987200000,2022-04-03 15:00:00,98.63,99.17,97.5,97.76,443561.0,1648990799999,43541363.854,36623,194963.0,19138578.145
1648990800000,2022-04-03 16:00:00,97.78,98.62,97.46,97.77,297329.0,1648994399999,29136609.084,24642,141321.0,13851092.56
1648994400000,2022-04-03 17:00:00,97.76,97.96,97.03,97.95,257262.0,1648997999999,25072406.031,23796,104987.0,10235755.604
1648998000000,2022-04-03 18:00:00,97.96,98.46,97.49,97.72,289727.0,1649001599999,28389173.685,23107,141204.0,13842736.015
1649001600000,2022-04-03 19:00:00,97.72,98.31,97.03,97.07,332181.0,1649005199999,32395893.963,27894,154008.0,15023726.149
1649005200000,2022-04-03 20:00:00,97.06,97.4,96.08,96.57,250634.0,1649008799999,24224438.235,22432,101488.0,9808965.03
1649008800000,2022-04-03 21:00:00,96.56,97.11,96.11,96.79,225725.0,1649012399999,21796759.63,18829,108385.0,10469252.89
1649012400000,2022-04-03 22:00:00,96.79,97.1,96.25,96.61,190450.0,1649015999999,18412416.87,23187,86259.0,8339309.37
1649016000000,2022-04-03 23:00:00,96.6,97.39,96.43,96.69,158986.0,1649019599999,15414447.497,17487,73907.0,7166213.887
1649019600000,2022-04-04 00:00:00,96.68,98.22,96.66,98.22,196067.0,1649023199999,19104040.954,19050,103033.0,10039673.264
1649023200000,2022-04-04 01:00:00,98.21,99.85,97.97,99.01,748465.0,1649026799999,74221651.262,57229,364924.0,36189943.242
1649026800000,2022-04-04 02:00:00,99.02,99.2,97.2,98.05,580574.0,1649030399999,56948832.269,43353,268438.0,26334506.135
1649030400000,2022-04-04 03:00:00,98.03,98.11,95.76,96.34,601231.0,1649033999999,58215030.192,47809,252519.0,24462091.342
1649034000000,2022-04-04 04:00:00,96.34,97.33,96.12,97.0,242071.0,1649037599999,23425169.034,21031,108192.0,10470201.339
1649037600000,2022-04-04 05:00:00,97.0,97.61,96.66,97.49,147274.0,1649041199999,14312794.83,15298,62107.0,6036686.92
1649041200000,2022-04-04 06:00:00,97.49,97.81,96.4,96.49,146904.0,1649044799999,14285720.635,14806,55814.0,5432518.2
1649044800000,2022-04-04 07:00:00,96.5,97.08,96.01,96.55,169835.0,1649048399999,16398024.3,18980,76343.0,7372327.03
1649048400000,2022-04-04 08:00:00,96.55,97.27,96.39,97.18,109886.0,1649051999999,10656758.882,13123,55980.0,5428860.792
1649052000000,2022-04-04 09:00:00,97.18,97.23,96.68,97.19,99069.0,1649055599999,9608199.58,13505,45580.0,4420492.16
1649055600000,2022-04-04 10:00:00,97.19,97.65,96.71,97.24,138442.0,1649059199999,13451698.625,14669,64559.0,6272921.685
1649059200000,2022-04-04 11:00:00,97.27,97.41,96.56,97.09,196191.0,1649062799999,19018842.37,18178,89816.0,8709238.61
1649062800000,2022-04-04 12:00:00,97.1,97.19,96.06,96.12,196889.0,1649066399999,19043033.765,18879,90076.0,8713133.97
