time,datetime,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1743022800000,2025-03-27 00:00:00,22.167,22.186,21.836,22.098,414856.0,1743026399999,9144983.221,25320,195057.0,4300950.021
1743026400000,2025-03-27 01:00:00,22.098,22.131,21.907,22.021,289683.0,1743029999999,6375323.328,21853,141269.0,3108795.195
1743030000000,2025-03-27 02:00:00,22.021,22.116,21.926,22.041,285149.0,1743033599999,6281829.476,20743,149876.0,3302920.796
1743033600000,2025-03-27 03:00:00,22.041,22.259,21.981,22.247,400803.0,1743037199999,8869494.028,27906,225317.0,4987747.828
1743037200000,2025-03-27 04:00:00,22.248,22.269,22.076,22.207,315757.0,1743040799999,7004303.624,22450,154335.0,3422804.228
1743040800000,2025-03-27 05:00:00,22.207,22.371,22.194,22.264,363095.0,1743044399999,8086092.688,24390,193424.0,4307973.995
1743044400000,2025-03-27 06:00:00,22.264,22.276,22.125,22.165,263080.0,1743047999999,5840334.737,19198,115891.0,2572808.349
1743048000000,2025-03-27 07:00:00,22.166,22.172,22.002,22.038,257340.0,1743051599999,5681255.626,18703,127911.0,2823821.0
1743051600000,2025-03-27 08:00:00,22.037,22.088,21.944,21.963,176399.0,1743055199999,3881878.871,16203,81018.0,1783316.221
1743055200000,2025-03-27 09:00:00,21.964,22.142,21.902,22.045,278923.0,1743058799999,6143378.616,20872,152723.0,3364185.393
1743058800000,2025-03-27 10:00:00,22.044,22.127,21.982,22.069,170259.0,1743062399999,3754945.627,16220,83733.0,1846845.833
1743062400000,2025-03-27 11:00:00,22.069,22.112,21.864,21.962,367808.0,1743065999999,8089746.032,23637,183845.0,4044497.455
1743066000000,2025-03-27 12:00:00,21.964,22.051,21.844,21.995,332743.0,1743069599999,7295606.301,23135,167618.0,3675812.546
1743069600000,2025-03-27 13:00:00,21.996,22.183,21.969,21.977,466430.0,1743073199999,10299207.285,27716,218458.0,4824483.484
1743073200000,2025-03-27 14:00:00,21.975,22.084,21.798,21.856,374039.0,1743076799999,8201385.945,26094,161959.0,3553115.328
1743076800000,2025-03-27 15:00:00,21.856,22.023,21.732,21.988,500780.0,1743080399999,10965130.865,34534,244438.0,5355728.402
1743080400000,2025-03-27 16:00:00,21.987,22.04,21.617,21.857,916870.0,1743083999999,19959323.834,56506,397064.0,8649152.074
1743084000000,2025-03-27 17:00:00,21.856,22.275,21.82,22.258,627167.0,1743087599999,13835405.231,40135,359664.0,7938698.158
1743087600000,2025-03-27 18:00:00,22.26,22.268,21.853,21.904,736807.0,1743091199999,16244105.849,41504,318122.0,7008488.711
1743091200000,2025-03-27 19:00:00,21.904,22.03,21.882,21.903,267254.0,1743094799999,5865846.122,23765,128662.0,2824532.539
